Abogado,Fuente,Idioma,URL,URL final,HTTP,Clasificación,Content-Type,Bytes,Error
Luis Burgueño,Oficial,ES,https://www.vonwobeser.com/index.php/abogado?l=141,https://www.vonwobeser.com/index.php/abogado?l=141,200,Correcto,text/html; charset=utf-8,33843,
Luis Burgueño,Oficial,EN,https://www.vonwobeser.com/index.php/lawyer?l=141,https://www.vonwobeser.com/index.php/lawyer?l=141,200,Correcto,text/html; charset=utf-8,33279,
Luis Burgueño,Replit,ES,https://webpage-von-wobeser-2026.replit.app/abogado/luis-burgueno,https://webpage-von-wobeser-2026.replit.app/abogado/luis-burgueno,200,Correcto,text/html; charset=utf-8,89409,
Luis Burgueño,Replit,EN,https://webpage-von-wobeser-2026.replit.app/lawyer/luis-burgueno?lang=en,https://webpage-von-wobeser-2026.replit.app/lawyer/luis-burgueno?lang=en,200,Correcto,text/html; charset=utf-8,90276,
Luis Miguel Jiménez,Oficial,ES,https://www.vonwobeser.com/index.php/abogado?l=143,https://www.vonwobeser.com/index.php/abogado?l=143,200,Correcto,text/html; charset=utf-8,33676,
Luis Miguel Jiménez,Oficial,EN,https://www.vonwobeser.com/index.php/lawyer?l=143,https://www.vonwobeser.com/index.php/lawyer?l=143,200,Correcto,text/html; charset=utf-8,32996,
Luis Miguel Jiménez,Replit,ES,https://webpage-von-wobeser-2026.replit.app/abogado/luis-miguel-jimenez,https://webpage-von-wobeser-2026.replit.app/abogado/luis-miguel-jimenez,200,Correcto,text/html; charset=utf-8,88810,
Luis Miguel Jiménez,Replit,EN,https://webpage-von-wobeser-2026.replit.app/lawyer/luis-miguel-jimenez?lang=en,https://webpage-von-wobeser-2026.replit.app/lawyer/luis-miguel-jimenez?lang=en,200,Correcto,text/html; charset=utf-8,88129,
Rupert Hüttler,Oficial,ES,https://www.vonwobeser.com/index.php/abogado?l=144,https://www.vonwobeser.com/index.php/abogado?l=144,200,Correcto,text/html; charset=utf-8,32549,
Rupert Hüttler,Oficial,EN,https://www.vonwobeser.com/index.php/lawyer?l=144,https://www.vonwobeser.com/index.php/lawyer?l=144,200,Correcto,text/html; charset=utf-8,31971,
Rupert Hüttler,Replit,ES,https://webpage-von-wobeser-2026.replit.app/abogado/rupert-huttler,https://webpage-von-wobeser-2026.replit.app/abogado/rupert-huttler,200,Correcto,text/html; charset=utf-8,83770,
Rupert Hüttler,Replit,EN,https://webpage-von-wobeser-2026.replit.app/lawyer/rupert-huttler?lang=en,https://webpage-von-wobeser-2026.replit.app/lawyer/rupert-huttler?lang=en,200,Correcto,text/html; charset=utf-8,83427,
Fernando Carreño,Oficial,ES,https://www.vonwobeser.com/index.php/abogado?l=145,https://www.vonwobeser.com/index.php/abogado?l=145,200,Correcto,text/html; charset=utf-8,35031,
Fernando Carreño,Oficial,EN,https://www.vonwobeser.com/index.php/lawyer?l=145,https://www.vonwobeser.com/index.php/lawyer?l=145,200,Correcto,text/html; charset=utf-8,34177,
Fernando Carreño,Replit,ES,https://webpage-von-wobeser-2026.replit.app/abogado/fernando-carreno,https://webpage-von-wobeser-2026.replit.app/abogado/fernando-carreno,200,Correcto,text/html; charset=utf-8,89721,
Fernando Carreño,Replit,EN,https://webpage-von-wobeser-2026.replit.app/lawyer/fernando-carreno?lang=en,https://webpage-von-wobeser-2026.replit.app/lawyer/fernando-carreno?lang=en,200,Correcto,text/html; charset=utf-8,88996,
Edmond Frederic Grieger,Oficial,ES,https://www.vonwobeser.com/index.php/abogado?l=147,https://www.vonwobeser.com/index.php/abogado?l=147,200,Correcto,text/html; charset=utf-8,33683,
Edmond Frederic Grieger,Oficial,EN,https://www.vonwobeser.com/index.php/lawyer?l=147,https://www.vonwobeser.com/index.php/lawyer?l=147,200,Correcto,text/html; charset=utf-8,33095,
Edmond Frederic Grieger,Replit,ES,https://webpage-von-wobeser-2026.replit.app/abogado/edmond-grieger,https://webpage-von-wobeser-2026.replit.app/abogado/edmond-grieger,200,Correcto,text/html; charset=utf-8,90941,
Edmond Frederic Grieger,Replit,EN,https://webpage-von-wobeser-2026.replit.app/lawyer/edmond-grieger?lang=en,https://webpage-von-wobeser-2026.replit.app/lawyer/edmond-grieger?lang=en,200,Correcto,text/html; charset=utf-8,89526,
Adrián Magallanes,Oficial,ES,https://www.vonwobeser.com/index.php/abogado?l=148,https://www.vonwobeser.com/index.php/abogado?l=148,200,Correcto,text/html; charset=utf-8,36436,
Adrián Magallanes,Oficial,EN,https://www.vonwobeser.com/index.php/lawyer?l=148,https://www.vonwobeser.com/index.php/lawyer?l=148,200,Correcto,text/html; charset=utf-8,35468,
