ID oficial,Abogado,Cargo oficial ES,Cargo Replit ES,Estado,Hallazgos,Oficial ES,Estado oficial ES,Oficial EN,Estado oficial EN,Replit ES,Estado Replit ES,Replit EN,Estado Replit EN
141,Luis Burgueño,Socio,Socio,Coincide,,https://www.vonwobeser.com/index.php/abogado?l=141,Correcto,https://www.vonwobeser.com/index.php/lawyer?l=141,Correcto,https://webpage-von-wobeser-2026.replit.app/abogado/luis-burgueno,Correcto,https://webpage-von-wobeser-2026.replit.app/lawyer/luis-burgueno?lang=en,Correcto
143,Luis Miguel Jiménez,Socio,Socio,Coincide,,https://www.vonwobeser.com/index.php/abogado?l=143,Correcto,https://www.vonwobeser.com/index.php/lawyer?l=143,Correcto,https://webpage-von-wobeser-2026.replit.app/abogado/luis-miguel-jimenez,Correcto,https://webpage-von-wobeser-2026.replit.app/lawyer/luis-miguel-jimenez?lang=en,Correcto
144,Rupert Hüttler,Socio,Socio,Coincide,,https://www.vonwobeser.com/index.php/abogado?l=144,Correcto,https://www.vonwobeser.com/index.php/lawyer?l=144,Correcto,https://webpage-von-wobeser-2026.replit.app/abogado/rupert-huttler,Correcto,https://webpage-von-wobeser-2026.replit.app/lawyer/rupert-huttler?lang=en,Correcto
145,Fernando Carreño,Socio,Socio,Coincide,,https://www.vonwobeser.com/index.php/abogado?l=145,Correcto,https://www.vonwobeser.com/index.php/lawyer?l=145,Correcto,https://webpage-von-wobeser-2026.replit.app/abogado/fernando-carreno,Correcto,https://webpage-von-wobeser-2026.replit.app/lawyer/fernando-carreno?lang=en,Correcto
147,Edmond Frederic Grieger,Socio,Socio,Coincide,,https://www.vonwobeser.com/index.php/abogado?l=147,Correcto,https://www.vonwobeser.com/index.php/lawyer?l=147,Correcto,https://webpage-von-wobeser-2026.replit.app/abogado/edmond-grieger,Correcto,https://webpage-von-wobeser-2026.replit.app/lawyer/edmond-grieger?lang=en,Correcto
148,Adrián Magallanes,Socio,Socio,Coincide,,https://www.vonwobeser.com/index.php/abogado?l=148,Correcto,https://www.vonwobeser.com/index.php/lawyer?l=148,Correcto,https://webpage-von-wobeser-2026.replit.app/abogado/adrian-magallanes,Correcto,https://webpage-von-wobeser-2026.replit.app/lawyer/adrian-magallanes?lang=en,Correcto
149,Diego Sierra,Socio,Socio,Coincide,,https://www.vonwobeser.com/index.php/abogado?l=149,Correcto,https://www.vonwobeser.com/index.php/lawyer?l=149,Correcto,https://webpage-von-wobeser-2026.replit.app/abogado/diego-sierra,Correcto,https://webpage-von-wobeser-2026.replit.app/lawyer/diego-sierra?lang=en,Correcto
175,Montserrat Manzano,Socio,Socio,Coincide,,https://www.vonwobeser.com/index.php/abogado?l=175,Correcto,https://www.vonwobeser.com/index.php/lawyer?l=175,Correcto,https://webpage-von-wobeser-2026.replit.app/abogado/montserrat-manzano,Correcto,https://webpage-von-wobeser-2026.replit.app/lawyer/montserrat-manzano?lang=en,Correcto
189,Pablo Saez Williams,Socio,Socio,Coincide,,https://www.vonwobeser.com/index.php/abogado?l=189,Correcto,https://www.vonwobeser.com/index.php/lawyer?l=189,Correcto,https://webpage-von-wobeser-2026.replit.app/abogado/pablo-saez-williams,Correcto,https://webpage-von-wobeser-2026.replit.app/lawyer/pablo-saez-williams?lang=en,Correcto
168,Patricia Kaim,Socio,Socio,Coincide,,https://www.vonwobeser.com/index.php/abogado?l=168,Correcto,https://www.vonwobeser.com/index.php/lawyer?l=168,Correcto,https://webpage-von-wobeser-2026.replit.app/abogado/patricia-kaim,Correcto,https://webpage-von-wobeser-2026.replit.app/lawyer/patricia-kaim?lang=en,Correcto
