sourceKey,language,legacyId,counterpartLegacyId,listingUrl,officialUrl,officialStatus,officialFinalUrl,officialDateRaw,officialDateNormalized,officialDatePrecision,officialDocumentTitle,officialDescription,officialOgTitle,officialOgDescription,officialCanonical,officialHreflang,officialVisibleTitle,officialVisibleTitleTag,officialIntroHash,officialBodyHash,officialSourceOnly,officialPdfUrls,officialContentUrls,matchStatus,projectId,projectSlug,projectLegacyId,projectPublished,projectDate,dateComparison,titleComparison,excerptComparison,contentComparison,sourceComparison,categoryComparison,projectHtmlStatus,projectH1Count,projectH1Comparison,projectCanonical,projectSourceCtaMatches,projectSourceCtaSecure,projectVisibleRawUrlCount,findings
es:1764,es,1764,1763,https://www.vonwobeser.com/index.php/publicaciones/articulos?start=20,https://www.vonwobeser.com/index.php/publicacion?p_id=1764,200,https://www.vonwobeser.com/index.php/publicacion?p_id=1764,"Enero, 2023",2023-01,month,Von Wobeser y Sierra - Latin Lawyer’s M&A Guide: Indemnity Escrows and Other Payment Guarantees,"Von Wobeser y Sierra S.C. es una de las principales firmas de derecho mexicano que ofrece soluciones legales de servicio completo. Se compone de más de 30 diferentes áreas de práctica, incluyendo escritorios especializados con una lista fuerte de clientes internacionales y nacionales.",,,,,Latin Lawyer’s M&A Guide: Indemnity Escrows and Other Payment Guarantees,div,459004513b87130dc5987244b87fc61b96743579fdc5839c694d83a681d8828c,0dc29eda88d97b23011628f919e2e6d2cea07a62cbe02f6b5153e2dd276b6cbf,false,,https://www.vonwobeser.com/index.php/abogado?l=141 | https://www.vonwobeser.com/index.php/abogado?l=160 | https://www.vonwobeser.com/index.php/abogado?l=246 | https://vonwobeserysierra.us5.list-manage.com/track/click?u=b054d1d8087ee1d7ab2807780&id=76fb70a373&e=235d3ee136,legacy_id,c652d75f-b906-418e-920f-b0b288f6d150,latin-lawyer-s-m-a-guide-indemnity-escrows-and-other-payment-guarantees-2,1764,true,2023-01-01,match,different,different,different,not_applicable,match,correcto,1,match,https://www.vonwobeser.com/news/latin-lawyer-s-m-a-guide-indemnity-escrows-and-other-payment-guarantees-2,true,true,0,TITLE_DIFFERENT | CONTENT_DIFFERENT
es:1756,es,1756,1755,https://www.vonwobeser.com/index.php/publicaciones/articulos?start=20,https://www.vonwobeser.com/index.php/publicacion?p_id=1756,200,https://www.vonwobeser.com/index.php/publicacion?p_id=1756,"Octubre, 2022",2022-10,month,Von Wobeser y Sierra - Global Arbitration Review: Construction Arbitration Know-How Mexico Chapter,"Von Wobeser y Sierra S.C. es una de las principales firmas de derecho mexicano que ofrece soluciones legales de servicio completo. Se compone de más de 30 diferentes áreas de práctica, incluyendo escritorios especializados con una lista fuerte de clientes internacionales y nacionales.",,,,,Global Arbitration Review: Construction Arbitration Know-How Mexico Chapter,div,0bf90859f9d5c34a8f3a03113bd81c761b87413cc066cff0937c300613d90f33,016815836a54bfb888ae5f96f92ecf0aa7f4bf44e34690747bea9e3c488cea3f,false,,https://www.vonwobeser.com/index.php/abogado?l=175 | https://vonwobeserysierra.us5.list-manage.com/track/click?u=b054d1d8087ee1d7ab2807780&id=03c8f69696&e=235d3ee136,legacy_id,737ef17f-b7a2-472b-b27a-e884bb8493e0,global-arbitration-review-construction-arbitration-know-how-mexico-chapter-2,1756,true,2022-10-01,match,different,different,different,not_applicable,match,correcto,1,match,https://www.vonwobeser.com/news/global-arbitration-review-construction-arbitration-know-how-mexico-chapter-2,true,true,0,TITLE_DIFFERENT | CONTENT_DIFFERENT
es:1699,es,1699,1700,https://www.vonwobeser.com/index.php/publicaciones/articulos?start=20,https://www.vonwobeser.com/index.php/publicacion?p_id=1699,200,https://www.vonwobeser.com/index.php/publicacion?p_id=1699,"Febrero, 2022",2022-02,month,Von Wobeser y Sierra - ¿Tu negocio contribuye a cambiar el mundo? Considera una perspectiva ESG.,"Von Wobeser y Sierra S.C. es una de las principales firmas de derecho mexicano que ofrece soluciones legales de servicio completo. Se compone de más de 30 diferentes áreas de práctica, incluyendo escritorios especializados con una lista fuerte de clientes internacionales y nacionales.",,,,,¿Tu negocio contribuye a cambiar el mundo? Considera una perspectiva ESG.,div,9f59bfa5437d75449fdb47156f821d390c711b049ea9caf2f3beea0a686cfd8b,9ee52dde49b69956f5faebe190943dc420989e16cce593cf39cb91b55f213a97,false,https://www.vonwobeser.com/images/PDF_news/2022/Tu-negocio-contribuye-a-cambiar-el-mundo_-Considera-una-perspectiva-ESG.pdf,https://www.vonwobeser.com/index.php/abogado?l=323 | https://www.vonwobeser.com/index.php/practica?p=90 | https://expansion.mx/opinion/2022/01/03/negocio-contribuya-cambiar-el-mundo,legacy_id,13f214d4-71b3-4284-8e23-d7882ad83bd1,tu-negocio-contribuye-a-cambiar-el-mundo-considera-una-perspectiva-esg,1699,true,2022-02-01,match,match,match,different,match,match,correcto,1,match,https://www.vonwobeser.com/news/tu-negocio-contribuye-a-cambiar-el-mundo-considera-una-perspectiva-esg,true,true,0,CONTENT_DIFFERENT
es:1674,es,1674,,https://www.vonwobeser.com/index.php/publicaciones/articulos?start=20,https://www.vonwobeser.com/index.php/publicacion?p_id=1674,200,https://www.vonwobeser.com/index.php/publicacion?p_id=1674,"Diciembre, 2021",2021-12,month,Von Wobeser y Sierra - Competencia económica: un potencial detonante de iniciativas sustentables,"Von Wobeser y Sierra S.C. es una de las principales firmas de derecho mexicano que ofrece soluciones legales de servicio completo. Se compone de más de 30 diferentes áreas de práctica, incluyendo escritorios especializados con una lista fuerte de clientes internacionales y nacionales.",,,,,Competencia económica: un potencial detonante de iniciativas sustentables,div,3731f1df574dd550f7dfece2c4a8ac21a97f03776965ed52dc91c430d01b21d2,6bee7618c4136f7d927289d310259092ad03f0fc2fe7ce844105998b2fd3e948,false,,https://www.vonwobeser.com/index.php/abogado?l=323 | https://expansion.mx/opinion/2021/12/07/competencia-economica-detonante-iniciativas-sustentables,legacy_id,07fe176f-f88f-4e6f-96d4-2f9156cfd495,competencia-economica-un-potencial-detonante-de-iniciativas-sustentables,1674,true,2021-12-01,match,match,match,different,not_applicable,match,correcto,1,match,https://www.vonwobeser.com/news/competencia-economica-un-potencial-detonante-de-iniciativas-sustentables,true,true,0,CONTENT_DIFFERENT
es:1288,es,1288,1287,https://www.vonwobeser.com/index.php/publicaciones/articulos?start=50,https://www.vonwobeser.com/index.php/publicacion?p_id=1288,200,https://www.vonwobeser.com/index.php/publicacion?p_id=1288,"Mayo, 2020",2020-05,month,Von Wobeser y Sierra - Consecuencias Jurídicas para el Sector Energético Mexicano Debido a COVID-19,"Von Wobeser y Sierra S.C. es una de las principales firmas de derecho mexicano que ofrece soluciones legales de servicio completo. Se compone de más de 30 diferentes áreas de práctica, incluyendo escritorios especializados con una lista fuerte de clientes internacionales y nacionales.",,,,,Consecuencias Jurídicas para el Sector Energético Mexicano Debido a COVID-19,div,2b34a4a01e266e08664546d78bc2665a661f37ea87ed547405c57d10872c3dfe,700351900184c0985a1aa4b5dd71172c424015422f3706c99b46e972c77c3044,false,https://www.vonwobeser.com/images/PDF/2020/202005_ABA_Issue57vf_EG.pdf,,legacy_id,c916d9f3-5029-449d-afdc-95af43e1041e,consecuencias-juridicas-para-el-sector-energetico-mexicano-debido-a-covid-19,1288,true,2020-05-01,match,match,match,different,not_applicable,match,correcto,1,match,https://www.vonwobeser.com/news/consecuencias-juridicas-para-el-sector-energetico-mexicano-debido-a-covid-19,true,true,0,CONTENT_DIFFERENT
es:864,es,864,863,https://www.vonwobeser.com/index.php/publicaciones/articulos?start=60,https://www.vonwobeser.com/index.php/publicacion?p_id=864,200,https://www.vonwobeser.com/index.php/publicacion?p_id=864,"Diciembre, 2017",2017-12,month,Von Wobeser y Sierra - Adrián Magallanes- Getting the Deal Through- Acciones Colectivas 2018: Capítulo sobre México,"Von Wobeser y Sierra S.C. es una de las principales firmas de derecho mexicano que ofrece soluciones legales de servicio completo. Se compone de más de 30 diferentes áreas de práctica, incluyendo escritorios especializados con una lista fuerte de clientes internacionales y nacionales.",,,,,Adrián Magallanes- Getting the Deal Through- Acciones Colectivas 2018: Capítulo sobre México,div,d6872859b0cb72296e1a23d0ae012945a4007bf0ae7710f0283a004fe01fd3c1,228ccc0bc6647733c7eaa70384e0f959e1cfcf2a518ca659ec9608fc58f6cc36,false,https://www.vonwobeser.com/images/PDF_news/PDF_articles/2017/Class-Actions-2018Mexico.pdf,https://www.vonwobeser.com/index.php/abogado?l=148,legacy_id,c52ecedd-8ebb-4981-99b6-6c3d6ff67048,adrian-magallanes-getting-the-deal-through-acciones-colectivas-2018-capitulo-sob,864,true,2017-12-01,match,match,match,different,not_applicable,match,correcto,1,match,https://www.vonwobeser.com/news/adrian-magallanes-getting-the-deal-through-acciones-colectivas-2018-capitulo-sob,true,true,0,CONTENT_DIFFERENT
es:805,es,805,804,https://www.vonwobeser.com/index.php/publicaciones/articulos?start=60,https://www.vonwobeser.com/index.php/publicacion?p_id=805,200,https://www.vonwobeser.com/index.php/publicacion?p_id=805,"Septiembre, 2017",2017-09,month,Von Wobeser y Sierra - Fernando Carreño – Euromoney: Las fusiones y adquisiciones mexicanas se encogen de hombros ante el bajón de Trump,"Von Wobeser y Sierra S.C. es una de las principales firmas de derecho mexicano que ofrece soluciones legales de servicio completo. Se compone de más de 30 diferentes áreas de práctica, incluyendo escritorios especializados con una lista fuerte de clientes internacionales y nacionales.",,,,,Fernando Carreño – Euromoney: Las fusiones y adquisiciones mexicanas se encogen de hombros ante el bajón de Trump,div,7ed36a395fd6620be37ca6b6044581526d2e2dc102d457d84cfd9e75e394df07,39a4ba75270db3fc55783b33cf813a9fb986f186fd2aac5cbb7d81e85d8cb681,false,https://www.vonwobeser.com/images/PDF_news/2017/Mexican-MA-shrugs-off-the-Trump-slump-_-Euromoney.pdf,https://www.vonwobeser.com/index.php/abogado?l=145 | https://www.euromoney.com/article/b14x1dch0gwn9v/mexican-mampa-shrugs-off-the-trump-slump,legacy_id,b67dc8d2-a0ee-4454-8a56-f1cb906fd623,fernando-carreno-euromoney-las-fusiones-y-adquisiciones-mexicanas-se-encogen-de-,805,true,2017-09-01,match,match,match,different,not_applicable,match,correcto,1,match,https://www.vonwobeser.com/news/fernando-carreno-euromoney-las-fusiones-y-adquisiciones-mexicanas-se-encogen-de-,true,true,0,CONTENT_DIFFERENT
es:406,es,406,407,https://www.vonwobeser.com/index.php/publicaciones/articulos?start=120,https://www.vonwobeser.com/index.php/publicacion?p_id=406,200,https://www.vonwobeser.com/index.php/publicacion?p_id=406,"Enero, 2013",2013-01,month,"Von Wobeser y Sierra - Luis Miguel Jiménez , Lourdes Salazar - International Law Office, Implicaciones en materia de Comercio Exterior derivadas de Fusiones y Adquisiciones","Von Wobeser y Sierra S.C. es una de las principales firmas de derecho mexicano que ofrece soluciones legales de servicio completo. Se compone de más de 30 diferentes áreas de práctica, incluyendo escritorios especializados con una lista fuerte de clientes internacionales y nacionales.",,,,,"Luis Miguel Jiménez , Lourdes Salazar - International Law Office, Implicaciones en materia de Comercio Exterior derivadas de Fusiones y Adquisiciones",div,e551da8907bc1376bf26f2565f41b5346faed0a99df92c97ec863f12ff6ea5f3,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,false,https://www.vonwobeser.com/images/PDF_news/2015/56_ILO_Foreign_trade_implications_of_MA_transactions.pdf,https://www.vonwobeser.com/index.php/abogado?l=143,verified_language_counterpart,c456eb8b-ee6c-4bb8-ad65-4636a649c8f2,luis-miguel-jimenez-lourdes-salazar-international-law-office-foreign-trade-impli,407,true,2013-01-01,match,similar,different,different,not_applicable,match,correcto,1,match,https://www.vonwobeser.com/news/luis-miguel-jimenez-lourdes-salazar-international-law-office-foreign-trade-impli,true,true,0,TITLE_SIMILAR | CONTENT_DIFFERENT
es:446,es,446,447,https://www.vonwobeser.com/index.php/publicaciones/articulos?start=130,https://www.vonwobeser.com/index.php/publicacion?p_id=446,200,https://www.vonwobeser.com/index.php/publicacion?p_id=446,"Febrero, 2012",2012-02,month,Von Wobeser y Sierra - Claus von Wobeser - The European Lawyer Reference Series - Arbitration World 4th Edition Capítulo de México,"Von Wobeser y Sierra S.C. es una de las principales firmas de derecho mexicano que ofrece soluciones legales de servicio completo. Se compone de más de 30 diferentes áreas de práctica, incluyendo escritorios especializados con una lista fuerte de clientes internacionales y nacionales.",,,,,Claus von Wobeser - The European Lawyer Reference Series - Arbitration World 4th Edition Capítulo de México,div,683beeceaa61df0a870507c1a4a95c87b2d6730fdd5dc53296c8f1537242902d,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,false,https://www.vonwobeser.com/images/PDF_news/2015/1.5-The-European-Lawyer-Ref-Series-Arbitration-World-4th-Ed--Mexico.pdf,https://www.vonwobeser.com/index.php/abogado?l=134,legacy_id,650272b6-88d8-43a4-84d5-3b2f8c5f1fcd,claus-von-wobeser-the-european-lawyer-reference-series-arbitration-world-4th-edi-2,446,true,2012-02-01,match,match,match,different,not_applicable,match,correcto,1,match,https://www.vonwobeser.com/news/claus-von-wobeser-the-european-lawyer-reference-series-arbitration-world-4th-edi-2,true,true,0,CONTENT_DIFFERENT
es:450,es,450,451,https://www.vonwobeser.com/index.php/publicaciones/articulos?start=130,https://www.vonwobeser.com/index.php/publicacion?p_id=450,200,https://www.vonwobeser.com/index.php/publicacion?p_id=450,"Enero, 2009",2009-01,month,Von Wobeser y Sierra - Claus Von Wobeser - La Incorporación por Referencia,"Von Wobeser y Sierra S.C. es una de las principales firmas de derecho mexicano que ofrece soluciones legales de servicio completo. Se compone de más de 30 diferentes áreas de práctica, incluyendo escritorios especializados con una lista fuerte de clientes internacionales y nacionales.",,,,,Claus Von Wobeser - La Incorporación por Referencia,div,658fb733b0c93162ab43f16dea5d7aa448373f65b21fb8ca074b0ac2588916b2,03a049dd5fe466cf917f8452776fe7437e9e1f2c0fee3e1a0a779edb30a23ef2,false,https://www.vonwobeser.com/images/PDF_news/2015/PAUTA-58-CVW.pdf,https://www.vonwobeser.com/index.php/abogado?l=134,legacy_id,3c635370-da04-45bd-932b-1bb9ba32c3a3,claus-von-wobeser-la-incorporacion-por-referencia,450,true,2009-01-01,match,match,similar,different,not_applicable,match,correcto,1,match,https://www.vonwobeser.com/news/claus-von-wobeser-la-incorporacion-por-referencia,true,true,0,CONTENT_DIFFERENT
