owner,source,kind,language,url,status,classification,finalUrl,redirected,mime,error
d1442a98-28ad-44bb-9925-e6a8b65821da:es,project-public,public-source-cta,es,https://eljuegodelacorte.nexos.com.mx/la-batalla-por-la-independencia-judicial-lecciones-del-sistema-interamericano/,200,correcto,https://eljuegodelacorte.nexos.com.mx/la-batalla-por-la-independencia-judicial-lecciones-del-sistema-interamericano/,false,text/html; charset=UTF-8,
d1442a98-28ad-44bb-9925-e6a8b65821da:en,project-public,public-source-cta,en,https://eljuegodelacorte.nexos.com.mx/la-batalla-por-la-independencia-judicial-lecciones-del-sistema-interamericano/,200,correcto,https://eljuegodelacorte.nexos.com.mx/la-batalla-por-la-independencia-judicial-lecciones-del-sistema-interamericano/,false,text/html; charset=UTF-8,
f88f3e19-eeb7-4dcf-81bf-7419b292d426:es,project-public,public-source-cta,es,https://anticorrupcion.nexos.com.mx/los-empresarios-son-beneficiarios-del-combate-a-la-corrupcion-privada/,200,correcto,https://anticorrupcion.nexos.com.mx/los-empresarios-son-beneficiarios-del-combate-a-la-corrupcion-privada/,false,text/html; charset=UTF-8,
f88f3e19-eeb7-4dcf-81bf-7419b292d426:en,project-public,public-source-cta,en,https://anticorrupcion.nexos.com.mx/los-empresarios-son-beneficiarios-del-combate-a-la-corrupcion-privada/,200,correcto,https://anticorrupcion.nexos.com.mx/los-empresarios-son-beneficiarios-del-combate-a-la-corrupcion-privada/,false,text/html; charset=UTF-8,
dcf35485-3541-4cfc-8593-f9c62419505c:es,project-public,public-source-cta,es,https://www.vonwobeser.com/index.php/publicacion/p_id-1817.html,0,inaccesible,,false,,fetch failed
dcf35485-3541-4cfc-8593-f9c62419505c:en,project-public,public-source-cta,en,https://www.vonwobeser.com/index.php/publicacion/p_id-1817.html,0,inaccesible,,false,,fetch failed
51456133-d260-4f4f-9383-e559f960afaf:es,project-public,public-source-cta,es,https://www.vonwobeser.com/index.php/publicacion/p_id-1816.html,0,inaccesible,,false,,fetch failed
51456133-d260-4f4f-9383-e559f960afaf:en,project-public,public-source-cta,en,https://www.vonwobeser.com/index.php/publicacion/p_id-1816.html,0,inaccesible,,false,,fetch failed
dd355580-337a-4753-8c05-3376dfefa8a4:es,project-public,public-source-cta,es,https://www.vonwobeser.com/index.php/publicacion/p_id-1815.html,0,inaccesible,,false,,fetch failed
dd355580-337a-4753-8c05-3376dfefa8a4:en,project-public,public-source-cta,en,https://www.vonwobeser.com/index.php/publicacion/p_id-1815.html,0,inaccesible,,false,,fetch failed
e711701f-6b90-4193-b762-80b2533bdf83:es,project-public,public-source-cta,es,https://mundoejecutivo.com.mx/economia/blockchain-compliance-evolucion-cumplimiento/,200,correcto,https://mundoejecutivo.com.mx/economia/blockchain-compliance-evolucion-cumplimiento/,false,text/html; charset=UTF-8,
e711701f-6b90-4193-b762-80b2533bdf83:en,project-public,public-source-cta,en,https://mundoejecutivo.com.mx/economia/blockchain-compliance-evolucion-cumplimiento/,200,correcto,https://mundoejecutivo.com.mx/economia/blockchain-compliance-evolucion-cumplimiento/,false,text/html; charset=UTF-8,
cb5c1ee1-54f9-4689-a806-1eb274bc61ef:es,project-public,public-source-cta,es,https://www.vonwobeser.com/index.php/publicacion/p_id-1813.html,0,inaccesible,,false,,fetch failed
cb5c1ee1-54f9-4689-a806-1eb274bc61ef:en,project-public,public-source-cta,en,https://www.vonwobeser.com/index.php/publicacion/p_id-1813.html,0,inaccesible,,false,,fetch failed
83f05ea3-0a3c-40f4-ab82-d4a5224c97b7:es,project-public,public-source-cta,es,https://www.vonwobeser.com/index.php/publicacion/p_id-1812.html,0,inaccesible,,false,,fetch failed
83f05ea3-0a3c-40f4-ab82-d4a5224c97b7:en,project-public,public-source-cta,en,https://www.vonwobeser.com/index.php/publicacion/p_id-1812.html,0,inaccesible,,false,,fetch failed
e61cf1d4-c0c2-4d8d-b064-f1c32c3a101e:es,project-public,public-source-cta,es,https://mitsloanreview.mx/nft-bitcoin-crypto-blockchain/como-prevenir-fraudes-con-criptomonedas/,200,redireccion-valida,https://www.mitsloanreview.mx/nft-bitcoin-crypto-blockchain/como-prevenir-fraudes-con-criptomonedas/,true,text/html; charset=UTF-8,
e61cf1d4-c0c2-4d8d-b064-f1c32c3a101e:en,project-public,public-source-cta,en,https://mitsloanreview.mx/nft-bitcoin-crypto-blockchain/como-prevenir-fraudes-con-criptomonedas/,200,redireccion-valida,https://www.mitsloanreview.mx/nft-bitcoin-crypto-blockchain/como-prevenir-fraudes-con-criptomonedas/,true,text/html; charset=UTF-8,
