sourceKey,language,legacyId,counterpartLegacyId,listingUrl,officialUrl,officialStatus,officialFinalUrl,officialDateRaw,officialDateNormalized,officialDatePrecision,officialDocumentTitle,officialDescription,officialOgTitle,officialOgDescription,officialCanonical,officialHreflang,officialVisibleTitle,officialVisibleTitleTag,officialIntroHash,officialBodyHash,officialSourceOnly,officialPdfUrls,officialContentUrls,matchStatus,projectId,projectSlug,projectLegacyId,projectPublished,projectDate,dateComparison,titleComparison,excerptComparison,contentComparison,sourceComparison,categoryComparison,projectHtmlStatus,projectH1Count,projectH1Comparison,projectCanonical,projectSourceCtaMatches,projectSourceCtaSecure,projectVisibleRawUrlCount,findings
es:1897,es,1897,1898,https://www.vonwobeser.com/index.php/publicaciones/articulos,https://www.vonwobeser.com/index.php/publicacion?p_id=1897,200,https://www.vonwobeser.com/index.php/publicacion?p_id=1897,"Abril, 2024",2024-04,month,Von Wobeser y Sierra - La batalla por la independencia judicial. Lecciones del Sistema Interamericano.,"Von Wobeser y Sierra S.C. es una de las principales firmas de derecho mexicano que ofrece soluciones legales de servicio completo. Se compone de más de 30 diferentes áreas de práctica, incluyendo escritorios especializados con una lista fuerte de clientes internacionales y nacionales.",,,,,La batalla por la independencia judicial. Lecciones del Sistema Interamericano.,div,dd84906138ac728ef6a60982e4ba53788205c8b013ee33cbee3413c073bff074,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,true,,https://www.vonwobeser.com/index.php/abogado?l=344 | https://eljuegodelacorte.nexos.com.mx/la-batalla-por-la-independencia-judicial-lecciones-del-sistema-interamericano/,legacy_id,d1442a98-28ad-44bb-9925-e6a8b65821da,la-batalla-por-la-independencia-judicial-lecciones-del-sistema-interamericano,1897,true,2024-04-01,match,match,source_only,source_only,match,match,correcto,1,match,https://www.vonwobeser.com/news/la-batalla-por-la-independencia-judicial-lecciones-del-sistema-interamericano,true,true,0,
es:1833,es,1833,1834,https://www.vonwobeser.com/index.php/publicaciones/articulos,https://www.vonwobeser.com/index.php/publicacion?p_id=1833,200,https://www.vonwobeser.com/index.php/publicacion?p_id=1833,"Marzo, 2024",2024-03,month,Von Wobeser y Sierra - Daniela Pons - Nexos - Los empresarios son beneficiarios del combate a la corrupción privada - May 2023.,"Von Wobeser y Sierra S.C. es una de las principales firmas de derecho mexicano que ofrece soluciones legales de servicio completo. Se compone de más de 30 diferentes áreas de práctica, incluyendo escritorios especializados con una lista fuerte de clientes internacionales y nacionales.",,,,,Daniela Pons - Nexos - Los empresarios son beneficiarios del combate a la corrupción privada - May 2023.,div,1f703bf286b642eef15d45b3cba0cf75da34b36d4f62e2a713e0e00eb69b10a1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,true,,https://www.vonwobeser.com/index.php/abogado?l=398 | https://anticorrupcion.nexos.com.mx/los-empresarios-son-beneficiarios-del-combate-a-la-corrupcion-privada/,legacy_id,f88f3e19-eeb7-4dcf-81bf-7419b292d426,daniela-pons-nexos-los-empresarios-son-beneficiarios-del-combate-a-la-corrupcion-2,1833,true,2024-03-01,match,match,source_only,source_only,match,match,correcto,1,match,https://www.vonwobeser.com/news/daniela-pons-nexos-los-empresarios-son-beneficiarios-del-combate-a-la-corrupcion-2,true,true,0,
es:1817,es,1817,1832,https://www.vonwobeser.com/index.php/publicaciones/articulos,https://www.vonwobeser.com/index.php/publicacion?p_id=1817,200,https://www.vonwobeser.com/index.php/publicacion?p_id=1817,"Marzo, 2024",2024-03,month,"Von Wobeser y Sierra - Comentarios sobre el Delito de Defraudación Fiscal Equiparada relacionada con el IVA respecto a la consignación del Valor de Actos o Actividades, Thomson Reuters (2015)","Von Wobeser y Sierra S.C. es una de las principales firmas de derecho mexicano que ofrece soluciones legales de servicio completo. Se compone de más de 30 diferentes áreas de práctica, incluyendo escritorios especializados con una lista fuerte de clientes internacionales y nacionales.",,,,,"Comentarios sobre el Delito de Defraudación Fiscal Equiparada relacionada con el IVA respecto a la consignación del Valor de Actos o Actividades, Thomson Reuters (2015)",div,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,false,,https://www.vonwobeser.com/index.php/abogado?l=396,legacy_id,dcf35485-3541-4cfc-8593-f9c62419505c,comentarios-sobre-el-delito-de-defraudacion-fiscal-equiparada-relacionada-con-el-2,1817,true,2024-03-01,match,match,not_applicable,not_applicable,different,match,correcto,1,match,https://www.vonwobeser.com/news/comentarios-sobre-el-delito-de-defraudacion-fiscal-equiparada-relacionada-con-el-2,true,true,0,
es:1816,es,1816,1831,https://www.vonwobeser.com/index.php/publicaciones/articulos,https://www.vonwobeser.com/index.php/publicacion?p_id=1816,200,https://www.vonwobeser.com/index.php/publicacion?p_id=1816,"Marzo, 2024",2024-03,month,"Von Wobeser y Sierra - Prescripción Penal-Fiscal, Thomson Reuters (2015)","Von Wobeser y Sierra S.C. es una de las principales firmas de derecho mexicano que ofrece soluciones legales de servicio completo. Se compone de más de 30 diferentes áreas de práctica, incluyendo escritorios especializados con una lista fuerte de clientes internacionales y nacionales.",,,,,"Prescripción Penal-Fiscal, Thomson Reuters (2015)",div,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,false,,https://www.vonwobeser.com/index.php/abogado?l=396,legacy_id,51456133-d260-4f4f-9383-e559f960afaf,prescripcion-penal-fiscal-thomson-reuters-2015-2,1816,true,2024-03-01,match,match,not_applicable,not_applicable,different,match,correcto,1,match,https://www.vonwobeser.com/news/prescripcion-penal-fiscal-thomson-reuters-2015-2,true,true,0,
es:1815,es,1815,1830,https://www.vonwobeser.com/index.php/publicaciones/articulos,https://www.vonwobeser.com/index.php/publicacion?p_id=1815,200,https://www.vonwobeser.com/index.php/publicacion?p_id=1815,"Marzo, 2024",2024-03,month,"Von Wobeser y Sierra - Política Criminal Contemporánea de la Secretaría de Hacienda y Crédito Público, Thomson Reuters (2015)","Von Wobeser y Sierra S.C. es una de las principales firmas de derecho mexicano que ofrece soluciones legales de servicio completo. Se compone de más de 30 diferentes áreas de práctica, incluyendo escritorios especializados con una lista fuerte de clientes internacionales y nacionales.",,,,,"Política Criminal Contemporánea de la Secretaría de Hacienda y Crédito Público, Thomson Reuters (2015)",div,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,false,,https://www.vonwobeser.com/index.php/abogado?l=396,legacy_id,dd355580-337a-4753-8c05-3376dfefa8a4,politica-criminal-contemporanea-de-la-secretaria-de-hacienda-y-credito-publico-t-2,1815,true,2024-03-01,match,match,not_applicable,not_applicable,different,match,correcto,1,match,https://www.vonwobeser.com/news/politica-criminal-contemporanea-de-la-secretaria-de-hacienda-y-credito-publico-t-2,true,true,0,
es:1814,es,1814,1829,https://www.vonwobeser.com/index.php/publicaciones/articulos,https://www.vonwobeser.com/index.php/publicacion?p_id=1814,200,https://www.vonwobeser.com/index.php/publicacion?p_id=1814,"Marzo, 2024",2024-03,month,"Von Wobeser y Sierra - Blockchain y Compliance, Mundo Ejecutivo (2023)","Von Wobeser y Sierra S.C. es una de las principales firmas de derecho mexicano que ofrece soluciones legales de servicio completo. Se compone de más de 30 diferentes áreas de práctica, incluyendo escritorios especializados con una lista fuerte de clientes internacionales y nacionales.",,,,,"Blockchain y Compliance, Mundo Ejecutivo (2023)",div,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,false,,https://www.vonwobeser.com/index.php/abogado?l=396,legacy_id,e711701f-6b90-4193-b762-80b2533bdf83,blockchain-y-compliance-mundo-ejecutivo-2023-2,1814,true,2024-03-01,match,match,official_missing,not_applicable,different,match,correcto,1,match,https://www.vonwobeser.com/news/blockchain-y-compliance-mundo-ejecutivo-2023-2,true,true,0,
es:1813,es,1813,1828,https://www.vonwobeser.com/index.php/publicaciones/articulos,https://www.vonwobeser.com/index.php/publicacion?p_id=1813,200,https://www.vonwobeser.com/index.php/publicacion?p_id=1813,"Marzo, 2024",2024-03,month,"Von Wobeser y Sierra - La Tokenización de las Cosas, Revista del Ilustre y Nacional Colegio de Abogados de México (2024)","Von Wobeser y Sierra S.C. es una de las principales firmas de derecho mexicano que ofrece soluciones legales de servicio completo. Se compone de más de 30 diferentes áreas de práctica, incluyendo escritorios especializados con una lista fuerte de clientes internacionales y nacionales.",,,,,"La Tokenización de las Cosas, Revista del Ilustre y Nacional Colegio de Abogados de México (2024)",div,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,false,,https://www.vonwobeser.com/index.php/abogado?l=396,legacy_id,cb5c1ee1-54f9-4689-a806-1eb274bc61ef,la-tokenizacion-de-las-cosas-revista-del-ilustre-y-nacional-colegio-de-abogados--2,1813,true,2024-03-01,match,match,not_applicable,not_applicable,different,match,correcto,1,match,https://www.vonwobeser.com/news/la-tokenizacion-de-las-cosas-revista-del-ilustre-y-nacional-colegio-de-abogados--2,true,true,0,
es:1812,es,1812,1827,https://www.vonwobeser.com/index.php/publicaciones/articulos,https://www.vonwobeser.com/index.php/publicacion?p_id=1812,200,https://www.vonwobeser.com/index.php/publicacion?p_id=1812,"Marzo, 2024",2024-03,month,"Von Wobeser y Sierra - El Tratamiento Fiscal de las Criptomonedas, Thomson Reuters (2022)","Von Wobeser y Sierra S.C. es una de las principales firmas de derecho mexicano que ofrece soluciones legales de servicio completo. Se compone de más de 30 diferentes áreas de práctica, incluyendo escritorios especializados con una lista fuerte de clientes internacionales y nacionales.",,,,,"El Tratamiento Fiscal de las Criptomonedas, Thomson Reuters (2022)",div,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,false,,https://www.vonwobeser.com/index.php/abogado?l=396,legacy_id,83f05ea3-0a3c-40f4-ab82-d4a5224c97b7,el-tratamiento-fiscal-de-las-criptomonedas-thomson-reuters-2022-2,1812,true,2024-03-01,match,match,not_applicable,not_applicable,different,match,correcto,1,match,https://www.vonwobeser.com/news/el-tratamiento-fiscal-de-las-criptomonedas-thomson-reuters-2022-2,true,true,0,
es:1811,es,1811,1826,https://www.vonwobeser.com/index.php/publicaciones/articulos,https://www.vonwobeser.com/index.php/publicacion?p_id=1811,200,https://www.vonwobeser.com/index.php/publicacion?p_id=1811,"Marzo, 2024",2024-03,month,"Von Wobeser y Sierra - Las Criptomonedas y los Esquemas Ponzi, MIT Sloan (2022)","Von Wobeser y Sierra S.C. es una de las principales firmas de derecho mexicano que ofrece soluciones legales de servicio completo. Se compone de más de 30 diferentes áreas de práctica, incluyendo escritorios especializados con una lista fuerte de clientes internacionales y nacionales.",,,,,"Las Criptomonedas y los Esquemas Ponzi, MIT Sloan (2022)",div,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,false,,https://www.vonwobeser.com/index.php/abogado?l=396,legacy_id,e61cf1d4-c0c2-4d8d-b064-f1c32c3a101e,las-criptomonedas-y-los-esquemas-ponzi-mit-sloan-2022-2,1811,true,2024-03-01,match,match,official_missing,not_applicable,different,match,correcto,1,match,https://www.vonwobeser.com/news/las-criptomonedas-y-los-esquemas-ponzi-mit-sloan-2022-2,true,true,0,
es:1810,es,1810,1825,https://www.vonwobeser.com/index.php/publicaciones/articulos,https://www.vonwobeser.com/index.php/publicacion?p_id=1810,200,https://www.vonwobeser.com/index.php/publicacion?p_id=1810,"Marzo, 2024",2024-03,month,"Von Wobeser y Sierra - Las Criptomonedas y su Transparente Blockchain, Periódico Milenio (2021)","Von Wobeser y Sierra S.C. es una de las principales firmas de derecho mexicano que ofrece soluciones legales de servicio completo. Se compone de más de 30 diferentes áreas de práctica, incluyendo escritorios especializados con una lista fuerte de clientes internacionales y nacionales.",,,,,"Las Criptomonedas y su Transparente Blockchain, Periódico Milenio (2021)",div,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,false,,https://www.vonwobeser.com/index.php/abogado?l=396,legacy_id,c4499622-a209-4d59-b716-c9dff13f38c0,las-criptomonedas-y-su-transparente-blockchain-periodico-milenio-2021-2,1810,true,2024-03-01,match,match,official_missing,not_applicable,different,match,correcto,1,match,https://www.vonwobeser.com/news/las-criptomonedas-y-su-transparente-blockchain-periodico-milenio-2021-2,true,true,0,
