sourceKey,language,legacyId,titleOfficial,officialDateRaw,officialDateNormalized,counterpartLegacyId,projectId,projectLegacyId,projectSlug,projectDate,matchMethod,coverage,dateComparison
en:2053,en,2053,"Administrative Measures – Events Related to the FIFA World Cup 2026 in Mexico City and the Metropolitan Area of Guadalajara, Jalisco.","June, 2026",2026-06,,614cd5ef-3dbb-4537-a46c-b5285453a106,2053,administrative-measures-events-related-to-the-fifa-world-cup-2026-in-mexico-city,2026-06-01,legacy_id,covered,date_match
en:2051,en,2051,"CFE Awards Projects Under The Mixed Development Scheme, And Sener Extends Deadlines For The Second Call For Generation Permits","June, 2026",2026-06,,dc59e9ef-7061-428c-8294-c36923bb70da,2051,cfe-awards-projects-under-the-mixed-development-scheme-and-sener-extends-deadlin,2026-06-01,legacy_id,covered,date_match
en:2050,en,2050,Administrative Measures – FIFA World Cup 2026 Opening Match in Mexico City.,"June, 2026",2026-06,,566fec09-2cf0-454f-9797-52e5f26c91c2,2050,administrative-measures-fifa-world-cup-2026-opening-match-in-mexico-city,2026-06-01,legacy_id,covered,date_match
en:2048,en,2048,"New UMA Values Effective as of February 1st, 2026","January, 2026",2026-01,,e9c0f9e1-e8ba-4cf4-977c-2757e3d318f0,2048,new-uma-values-effective-as-of-february-1st-2026,2026-01-01,legacy_id,covered,date_match
en:2046,en,2046,New Obligations for Employers: Gender Equality and the Prevention and Eradication of Discrimination and Violence,"January, 2026",2026-01,,cb8edf5a-8656-4655-8a17-fd0eb5104cb7,2046,new-obligations-for-employers-gender-equality-and-the-prevention-and-eradication,2026-01-01,legacy_id,covered,date_match
en:2044,en,2044,Mexico’s New Legal Framework for Promoting a Circular Economy,"January, 2026",2026-01,,dcc6dcad-eded-49e2-b72a-4df734c3fb23,2044,mexico-s-new-legal-framework-for-promoting-a-circular-economy,2026-01-01,legacy_id,covered,date_match
en:2042,en,2042,"The Federal Electricity Commission Issues the “Guidelines for Mixed-Development Schemes of the State-Owned Public Enterprise, Federal Electricity Commission”","February, 2026",2026-02,,a4398c0a-4891-4d0e-9b74-f934ae3daa19,2042,the-federal-electricity-commission-issues-the-guidelines-for-mixed-development-s,2026-02-01,legacy_id,covered,date_match
en:2040,en,2040,A tax incentive is granted through a transferable tax credit to film and audiovisual production in Mexico,"February, 2026",2026-02,,2aae22a0-0e17-4c28-aac8-2af79f018176,2040,a-tax-incentive-is-granted-through-a-transferable-tax-credit-to-film-and-audiovi,2026-02-01,legacy_id,covered,date_match
en:2037,en,2037,Constitutional reform to reduce the workweek,"March, 2026",2026-03,,23f5d61a-8218-49a2-801d-8b2db8f8ffaa,2037,constitutional-reform-to-reduce-the-workweek,2026-03-01,legacy_id,covered,date_match
en:2036,en,2036,New interconnection and connection contract model: structural changes enabling new schemes in the power sector,"March, 2026",2026-03,,b3464078-7dc4-4b18-a0b5-9a796b9d6eca,2036,new-interconnection-and-connection-contract-model-structural-changes-enabling-ne,2026-03-01,legacy_id,covered,date_match
