sourceKey,language,type,legacyId,titleOfficial,officialUrl,listingUrl,officialDateRaw,officialDateNormalized,officialDatePrecision,detailStatus,detailClassification,detailFinalUrl,detailError,projectMatchCount,projectMatchMethod,projectMatchedLegacyIds,officialCounterpartLegacyId,projectIds,projectSlugs,projectCategories,projectDates,comparison
en:1947,en,news,1947,In memory of Rodolfo Trampe,https://www.vonwobeser.com/index.php/publication?p_id=1947,https://www.vonwobeser.com/index.php/publications/news?start=60,"November, 2024",2024-11,month,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=1947,,1,legacy_id,1947,,2741aa52-8aa7-4f7f-b1c9-9d3601b458a6,in-memory-of-rodolfo-trampe,news,,project_date_missing
en:1946,en,news,1946,Reform to Expand Crimes with Mandatory Pretrial Detention,https://www.vonwobeser.com/index.php/publication?p_id=1946,https://www.vonwobeser.com/index.php/publications/news?start=60,"November, 2024",2024-11,month,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=1946,,1,legacy_id,1946,,4fcec068-484e-4cd6-9972-a90c3bc12812,reform-to-expand-crimes-with-mandatory-pretrial-detention-2,news,,project_date_missing
en:1926,en,news,1926,Economic Package for fiscal year 2025,https://www.vonwobeser.com/index.php/publication?p_id=1926,https://www.vonwobeser.com/index.php/publications/news?start=60,"November, 2024",2024-11,month,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=1926,,1,legacy_id,1926,,7e2013fc-832a-4b61-8c52-9bfb50d437b3,economic-package-for-fiscal-year-2025,news,,project_date_missing
en:1922,en,news,1922,TD Bank: Lessons on the Importance of Effective Controls in Money Laundering Prevention,https://www.vonwobeser.com/index.php/publication?p_id=1922,https://www.vonwobeser.com/index.php/publications/news?start=60,"October, 2024",2024-10,month,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=1922,,1,legacy_id,1922,,13fd80e9-dd0a-44a2-9a1f-eca6ec6431ee,td-bank-lessons-on-the-importance-of-effective-controls-in-money-laundering-prev,news,,project_date_missing
en:1920,en,news,1920,Constitutional Reform on the Rights of Indigenous and Afro-Mexican Communities,https://www.vonwobeser.com/index.php/publication?p_id=1920,https://www.vonwobeser.com/index.php/publications/news?start=60,"October, 2024",2024-10,month,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=1920,,1,legacy_id,1920,,dca1656f-3b88-48b8-8324-0f5a9a026391,constitutional-reform-on-the-rights-of-indigenous-and-afro-mexican-communities,news,,project_date_missing
en:1918,en,news,1918,Reform to Expand Crimes with Mandatory Pretrial Detention,https://www.vonwobeser.com/index.php/publication?p_id=1918,https://www.vonwobeser.com/index.php/publications/news?start=60,"November, 2024",2024-11,month,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=1918,,1,legacy_id,1918,,c17265e1-aada-446a-9d3d-20b86598919f,reform-to-expand-crimes-with-mandatory-pretrial-detention,news,,project_date_missing
en:1916,en,news,1916,U.S. Introduces New Open Banking Regulations,https://www.vonwobeser.com/index.php/publication?p_id=1916,https://www.vonwobeser.com/index.php/publications/news?start=60,"November, 2024",2024-11,month,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=1916,,1,legacy_id,1916,,c7333213-ff81-4ec1-a82f-178e7d7917f5,u-s-introduces-new-open-banking-regulations,news,,project_date_missing
en:1914,en,news,1914,"New Constitutional Reform in Strategic Areas and Companies (Energy, Railroads, Telecommunications and Natural Resources)",https://www.vonwobeser.com/index.php/publication?p_id=1914,https://www.vonwobeser.com/index.php/publications/news?start=60,"October, 2024",2024-10,month,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=1914,,1,legacy_id,1914,,029620d3-f79b-4435-bbb7-24698d07420d,new-constitutional-reform-in-strategic-areas-and-companies-energy-railroads-tele,news,,project_date_missing
en:1912,en,news,1912,Proposal for Reform of the LFPIORPI and CPF to Enhance Anti-Money Laundering and Combating Financing Terrorism Efforts,https://www.vonwobeser.com/index.php/publication?p_id=1912,https://www.vonwobeser.com/index.php/publications/news?start=60,"October, 2024",2024-10,month,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=1912,,1,legacy_id,1912,,fb0057ff-99f2-4ea8-93ba-35b3aa4fc184,proposal-for-reform-of-the-lfpiorpi-and-cpf-to-enhance-anti-money-laundering-and,news,,project_date_missing
en:1910,en,news,1910,New Provisions for Electric Vehicle Charging Infrastructure in Mexico,https://www.vonwobeser.com/index.php/publication?p_id=1910,https://www.vonwobeser.com/index.php/publications/news?start=60,"October, 2024",2024-10,month,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=1910,,1,legacy_id,1910,,7569560a-841c-4dea-810b-62ef4a8911ba,new-provisions-for-electric-vehicle-charging-infrastructure-in-mexico,news,,project_date_missing
en:1890,en,news,1890,Mexico’s Grupak acquires Igsapak for electricity self-supply,https://www.vonwobeser.com/index.php/publication?p_id=1890,https://www.vonwobeser.com/index.php/publications/news?start=90,"October, 2023",2023-10,month,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=1890,,1,legacy_id,1890,,2fa6a410-c6f9-489e-9b87-b2e8caa2bc4b,mexico-s-grupak-acquires-igsapak-for-electricity-self-supply,news,,project_date_missing
en:1885,en,news,1885,The restriction on the sale of products containing trans fats is now in effect,https://www.vonwobeser.com/index.php/publication?p_id=1885,https://www.vonwobeser.com/index.php/publications/news?start=100,"September, 2023",2023-09,month,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=1885,,1,legacy_id,1885,,f09d32bd-1ba6-4c02-a87c-722e64b66b53,the-restriction-on-the-sale-of-products-containing-trans-fats-is-now-in-effect,news,,project_date_missing
en:1883,en,news,1883,Use of Electronic Means for the Holding of Partners and Shareholders’ Meetings,https://www.vonwobeser.com/index.php/publication?p_id=1883,https://www.vonwobeser.com/index.php/publications/news?start=100,"September, 2023",2023-09,month,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=1883,,1,legacy_id,1883,,a44a5c11-2882-4996-815d-95316988ac60,use-of-electronic-means-for-the-holding-of-partners-and-shareholders-meetings,news,,project_date_missing
en:1879,en,news,1879,Investigation on Antitrust Matters in the Market for Commercialization of Real Estates Classified Advertisements,https://www.vonwobeser.com/index.php/publication?p_id=1879,https://www.vonwobeser.com/index.php/publications/news?start=100,"October, 2023",2023-10,month,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=1879,,1,legacy_id,1879,,f4c17cff-a9ab-496a-b475-35a3eeb5759b,investigation-on-antitrust-matters-in-the-market-for-commercialization-of-real-e,news,,project_date_missing
en:1877,en,news,1877,Significant tax incentives granted to key sectors of the manufacturing industry for export,https://www.vonwobeser.com/index.php/publication?p_id=1877,https://www.vonwobeser.com/index.php/publications/news?start=90,"October, 2023",2023-10,month,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=1877,,1,legacy_id,1877,,dee26923-1f14-4168-bdef-b7e0e2b0f457,significant-tax-incentives-granted-to-key-sectors-of-the-manufacturing-industry-,news,,project_date_missing
en:1874,en,news,1874,Decree - Tax benefits to taxpayers of the affected areas of the state of Guerrero,https://www.vonwobeser.com/index.php/publication?p_id=1874,https://www.vonwobeser.com/index.php/publications/news?start=90,"October, 2023",2023-10,month,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=1874,,1,legacy_id,1874,,9f1f9706-ae64-4165-8042-8dcbaae8f13c,decree-tax-benefits-to-taxpayers-of-the-affected-areas-of-the-state-of-guerrero,news,,project_date_missing
en:1872,en,news,1872,NOM-037 enters into force soon,https://www.vonwobeser.com/index.php/publication?p_id=1872,https://www.vonwobeser.com/index.php/publications/news?start=90,"November, 2023",2023-11,month,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=1872,,1,legacy_id,1872,,3242626b-a693-4f14-82c7-c77075b63884,nom-037-enters-into-force-soon,news,,project_date_missing
en:1870,en,news,1870,Report on BEPS Action 14 “Making Dispute Resolution Mechanisms More Effective”,https://www.vonwobeser.com/index.php/publication?p_id=1870,https://www.vonwobeser.com/index.php/publications/news?start=90,"November, 2023",2023-11,month,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=1870,,1,legacy_id,1870,,4bda3979-f08a-439b-95b4-46c67363501d,report-on-beps-action-14-making-dispute-resolution-mechanisms-more-effective,news,,project_date_missing
en:1868,en,news,1868,Relevant modifications in tax and budget laws for 2024,https://www.vonwobeser.com/index.php/publication?p_id=1868,https://www.vonwobeser.com/index.php/publications/news?start=90,"November, 2023",2023-11,month,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=1868,,1,legacy_id,1868,,3538c25c-4927-4837-a580-4393d030ba1d,relevant-modifications-in-tax-and-budget-laws-for-2024,news,,project_date_missing
en:1866,en,news,1866,Gambling and Raffles reform,https://www.vonwobeser.com/index.php/publication?p_id=1866,https://www.vonwobeser.com/index.php/publications/news?start=90,"November, 2023",2023-11,month,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=1866,,1,legacy_id,1866,,f5025d61-8ddb-4252-af69-8ef24513e66a,gambling-and-raffles-reform,news,,project_date_missing
en:1864,en,news,1864,"New minimum wages as of January 1, 2024",https://www.vonwobeser.com/index.php/publication?p_id=1864,https://www.vonwobeser.com/index.php/publications/news?start=90,"December, 2023",2023-12,month,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=1864,,1,legacy_id,1864,,7cdface0-d314-4191-ba6f-93999b9b7360,new-minimum-wages-as-of-january-1-2024,news,,project_date_missing
en:1862,en,news,1862,Ex officio investigation for barriers to competition and free market and/or essential inputs in the Public Railroad Freight Transportation Service Market,https://www.vonwobeser.com/index.php/publication?p_id=1862,https://www.vonwobeser.com/index.php/publications/news?start=90,"January, 2024",2024-01,month,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=1862,,1,legacy_id,1862,,41480454-9096-4c9e-ad34-ea4b891d583d,ex-officio-investigation-for-barriers-to-competition-and-free-market-and-or-esse,news,,project_date_missing
en:1860,en,news,1860,Amendment to the Federal Court of Administrative Justice Bylaws,https://www.vonwobeser.com/index.php/publication?p_id=1860,https://www.vonwobeser.com/index.php/publications/news?start=80,"February, 2024",2024-02,month,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=1860,,1,legacy_id,1860,,c9f5392d-2d3e-4461-8aac-67ea20a471a2,amendment-to-the-federal-court-of-administrative-justice-bylaws,news,,project_date_missing
en:1858,en,news,1858,Mexico’s Supreme Court of Justice confirms ruling against the recent reform of the Electricity Industry Law,https://www.vonwobeser.com/index.php/publication?p_id=1858,https://www.vonwobeser.com/index.php/publications/news?start=80,"February, 2024",2024-02,month,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=1858,,1,legacy_id,1858,,5beabc11-0aa9-4974-8549-d45714412b57,mexico-s-supreme-court-of-justice-confirms-ruling-against-the-recent-reform-of-t,news,,project_date_missing
en:1856,en,news,1856,Property Tax - Unconstitutionality of section IV of Article 282 of the Mexico City Tax Code,https://www.vonwobeser.com/index.php/publication?p_id=1856,https://www.vonwobeser.com/index.php/publications/news?start=80,"February, 2024",2024-02,month,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=1856,,1,legacy_id,1856,,924c5853-3f39-47fb-86a8-347da41092fe,property-tax-unconstitutionality-of-section-iv-of-article-282-of-the-mexico-city,news,,project_date_missing
en:1854,en,news,1854,2024 REPSE renewals,https://www.vonwobeser.com/index.php/publication?p_id=1854,https://www.vonwobeser.com/index.php/publications/news?start=80,"February, 2024",2024-02,month,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=1854,,1,legacy_id,1854,,3231d3e1-7c01-4114-abe4-9c4cc1a9d250,2024-repse-renewals,news,,project_date_missing
en:1852,en,news,1852,Official Letter on the territorial competence of the Administrative Units of the Taxpayers’ Ombudsman regarding conclusive agreements,https://www.vonwobeser.com/index.php/publication?p_id=1852,https://www.vonwobeser.com/index.php/publications/news?start=80,"March, 2024",2024-03,month,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=1852,,1,legacy_id,1852,,ed772eb2-aa4a-41dd-a99f-7e88cfd11b06,official-letter-on-the-territorial-competence-of-the-administrative-units-of-the,news,,project_date_missing
en:1850,en,news,1850,Amendment to the Credit Instruments and Operations General Law and the Law of Credit Organizations and Auxiliary Activities,https://www.vonwobeser.com/index.php/publication?p_id=1850,https://www.vonwobeser.com/index.php/publications/news?start=80,"April, 2024",2024-04,month,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=1850,,1,legacy_id,1850,,4f851c6a-9996-437c-a0a6-42c56579f716,amendment-to-the-credit-instruments-and-operations-general-law-and-the-law-of-cr,news,,project_date_missing
en:1848,en,news,1848,The First Chamber holds that restricting the cancellation of digital tax invoices via the internet exclusively to the fiscal year of their issuance is unconstitutional,https://www.vonwobeser.com/index.php/publication?p_id=1848,https://www.vonwobeser.com/index.php/publications/news?start=80,"April, 2024",2024-04,month,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=1848,,1,legacy_id,1848,,45032755-c632-47e0-acdd-25bb0b8589ce,the-first-chamber-holds-that-restricting-the-cancellation-of-digital-tax-invoice,news,,project_date_missing
en:1846,en,news,1846,Von Wobeser y Sierra receives accolades at The Legal 500 Mexico Awards 2024,https://www.vonwobeser.com/index.php/publication?p_id=1846,https://www.vonwobeser.com/index.php/publications/news?start=80,"April, 2024",2024-04,month,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=1846,,1,legacy_id,1846,,99c0a1e0-f7c5-4d6b-8b82-af59a41c1232,von-wobeser-y-sierra-receives-accolades-at-the-legal-500-mexico-awards-2024,news,,project_date_missing
en:1844,en,news,1844,Establishment of the National Council for Alternative Dispute Resolution Mechanisms,https://www.vonwobeser.com/index.php/publication?p_id=1844,https://www.vonwobeser.com/index.php/publications/news?start=80,"June, 2024",2024-06,month,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=1844,,1,legacy_id,1844,,f7f30439-47c6-4d68-8dec-b14b518dc71e,establishment-of-the-national-council-for-alternative-dispute-resolution-mechani,news,,project_date_missing
en:1842,en,news,1842,Antitrust investigation on cartel conducts in neonatal screening services contracted by public health institutions in Mexico.,https://www.vonwobeser.com/index.php/publication?p_id=1842,https://www.vonwobeser.com/index.php/publications/news?start=80,"June, 2024",2024-06,month,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=1842,,1,legacy_id,1842,,135f98d9-4847-4221-9cc6-1b4830b2a69e,antitrust-investigation-on-cartel-conducts-in-neonatal-screening-services-contra,news,,project_date_missing
en:1799,en,news,1799,"Von Wobeser y Sierra Collaborates with Datasaur to Launch AI-powered chatbot, VonBot",https://www.vonwobeser.com/index.php/publication?p_id=1799,https://www.vonwobeser.com/index.php/publications/news?start=90,"October, 2023",2023-10,month,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=1799,,1,legacy_id,1799,,e621c909-7786-4ab2-bb9a-c4ff66027e0f,von-wobeser-y-sierra-collaborates-with-datasaur-to-launch-ai-powered-chatbot-von,news,,project_date_missing
en:1797,en,news,1797,The Electronic Bidding and Opinion Request System (SISELO) of the Federal Economic Competition Commission (COFECE) starts operations,https://www.vonwobeser.com/index.php/publication?p_id=1797,https://www.vonwobeser.com/index.php/publications/news?start=100,"September, 2023",2023-09,month,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=1797,,1,legacy_id,1797,,441bcea3-820b-4f1a-9970-d838d8b0e65e,the-electronic-bidding-and-opinion-request-system-siselo-of-the-federal-economic,news,,project_date_missing
en:1795,en,news,1795,The end of the Covid-19 health emergency is declared,https://www.vonwobeser.com/index.php/publication?p_id=1795,https://www.vonwobeser.com/index.php/publications/news?start=100,"May, 2023",2023-05,month,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=1795,,1,legacy_id,1795,,3271d850-f9f6-45b5-bae0-a4e69f3b3f3e,the-end-of-the-covid-19-health-emergency-is-declared,news,,project_date_missing
en:1793,en,news,1793,Nearshoring: benefits and facilities for investments in the Isthmus of Tehuantepec,https://www.vonwobeser.com/index.php/publication?p_id=1793,https://www.vonwobeser.com/index.php/publications/news?start=100,"June, 2023",2023-06,month,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=1793,,1,legacy_id,1793,,25417e73-16af-4ade-897a-923544554d62,nearshoring-benefits-and-facilities-for-investments-in-the-isthmus-of-tehuantepe,news,,project_date_missing
en:1791,en,news,1791,The Energy Regulatory Commission rolls back the energy transition,https://www.vonwobeser.com/index.php/publication?p_id=1791,https://www.vonwobeser.com/index.php/publications/news?start=100,"June, 2023",2023-06,month,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=1791,,1,legacy_id,1791,,fe0db0ca-b82f-46fb-9ac4-fcecf2e62db0,the-energy-regulatory-commission-rolls-back-the-energy-transition,news,,project_date_missing
en:1789,en,news,1789,"Invalidity of the Law for the Transparency, Prevention and Combat of Improper Practices in Advertising Contracting",https://www.vonwobeser.com/index.php/publication?p_id=1789,https://www.vonwobeser.com/index.php/publications/news?start=100,"June, 2023",2023-06,month,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=1789,,1,legacy_id,1789,,c3d62e7d-b0db-4426-962b-c7664a76a505,invalidity-of-the-law-for-the-transparency-prevention-and-combat-of-improper-pra,news,,project_date_missing
en:1787,en,news,1787,"NOM-037, on Telework - Safety and Health Conditions at Work",https://www.vonwobeser.com/index.php/publication?p_id=1787,https://www.vonwobeser.com/index.php/publications/news?start=100,"June, 2023",2023-06,month,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=1787,,1,legacy_id,1787,,1ed3911a-faa5-48e5-b4bd-c68448f92c0b,nom-037-on-telework-safety-and-health-conditions-at-work,news,,project_date_missing
