sourceKey,language,type,legacyId,titleOfficial,officialUrl,listingUrl,officialDateRaw,officialDateNormalized,officialDatePrecision,detailStatus,detailClassification,detailFinalUrl,detailError,projectMatchCount,projectMatchMethod,projectMatchedLegacyIds,officialCounterpartLegacyId,projectIds,projectSlugs,projectCategories,projectDates,comparison
en:2053,en,news,2053,"Administrative Measures – Events Related to the FIFA World Cup 2026 in Mexico City and the Metropolitan Area of Guadalajara, Jalisco.",https://www.vonwobeser.com/index.php/publication?p_id=2053,https://www.vonwobeser.com/index.php/publications/news,"June, 2026",2026-06,month,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=2053,,1,legacy_id,2053,,614cd5ef-3dbb-4537-a46c-b5285453a106,administrative-measures-events-related-to-the-fifa-world-cup-2026-in-mexico-city,Laboral,2026-06-01,date_match
en:2051,en,news,2051,"CFE Awards Projects Under The Mixed Development Scheme, And Sener Extends Deadlines For The Second Call For Generation Permits",https://www.vonwobeser.com/index.php/publication?p_id=2051,https://www.vonwobeser.com/index.php/publications/news,"June, 2026",2026-06,month,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=2051,,1,legacy_id,2051,,dc59e9ef-7061-428c-8294-c36923bb70da,cfe-awards-projects-under-the-mixed-development-scheme-and-sener-extends-deadlin,press,2026-06-01,date_match
en:2050,en,news,2050,Administrative Measures – FIFA World Cup 2026 Opening Match in Mexico City.,https://www.vonwobeser.com/index.php/publication?p_id=2050,https://www.vonwobeser.com/index.php/publications/news,"June, 2026",2026-06,month,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=2050,,1,legacy_id,2050,,566fec09-2cf0-454f-9797-52e5f26c91c2,administrative-measures-fifa-world-cup-2026-opening-match-in-mexico-city,news,2026-06-01,date_match
en:2048,en,news,2048,"New UMA Values Effective as of February 1st, 2026",https://www.vonwobeser.com/index.php/publication?p_id=2048,https://www.vonwobeser.com/index.php/publications/news?start=20,"January, 2026",2026-01,month,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=2048,,1,legacy_id,2048,,e9c0f9e1-e8ba-4cf4-977c-2757e3d318f0,new-uma-values-effective-as-of-february-1st-2026,news,2026-01-01,date_match
en:2046,en,news,2046,New Obligations for Employers: Gender Equality and the Prevention and Eradication of Discrimination and Violence,https://www.vonwobeser.com/index.php/publication?p_id=2046,https://www.vonwobeser.com/index.php/publications/news?start=20,"January, 2026",2026-01,month,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=2046,,1,legacy_id,2046,,cb8edf5a-8656-4655-8a17-fd0eb5104cb7,new-obligations-for-employers-gender-equality-and-the-prevention-and-eradication,news,2026-01-01,date_match
en:2044,en,news,2044,Mexico’s New Legal Framework for Promoting a Circular Economy,https://www.vonwobeser.com/index.php/publication?p_id=2044,https://www.vonwobeser.com/index.php/publications/news?start=20,"January, 2026",2026-01,month,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=2044,,1,legacy_id,2044,,dcc6dcad-eded-49e2-b72a-4df734c3fb23,mexico-s-new-legal-framework-for-promoting-a-circular-economy,news,2026-01-01,date_match
en:2042,en,news,2042,"The Federal Electricity Commission Issues the “Guidelines for Mixed-Development Schemes of the State-Owned Public Enterprise, Federal Electricity Commission”",https://www.vonwobeser.com/index.php/publication?p_id=2042,https://www.vonwobeser.com/index.php/publications/news?start=20,"February, 2026",2026-02,month,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=2042,,1,legacy_id,2042,,a4398c0a-4891-4d0e-9b74-f934ae3daa19,the-federal-electricity-commission-issues-the-guidelines-for-mixed-development-s,news,2026-02-01,date_match
en:2040,en,news,2040,A tax incentive is granted through a transferable tax credit to film and audiovisual production in Mexico,https://www.vonwobeser.com/index.php/publication?p_id=2040,https://www.vonwobeser.com/index.php/publications/news?start=20,"February, 2026",2026-02,month,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=2040,,1,legacy_id,2040,,2aae22a0-0e17-4c28-aac8-2af79f018176,a-tax-incentive-is-granted-through-a-transferable-tax-credit-to-film-and-audiovi,news,2026-02-01,date_match
en:2037,en,news,2037,Constitutional reform to reduce the workweek,https://www.vonwobeser.com/index.php/publication?p_id=2037,https://www.vonwobeser.com/index.php/publications/news?start=20,"March, 2026",2026-03,month,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=2037,,1,legacy_id,2037,,23f5d61a-8218-49a2-801d-8b2db8f8ffaa,constitutional-reform-to-reduce-the-workweek,news,2026-03-01,date_match
en:2036,en,news,2036,New interconnection and connection contract model: structural changes enabling new schemes in the power sector,https://www.vonwobeser.com/index.php/publication?p_id=2036,https://www.vonwobeser.com/index.php/publications/news?start=20,"March, 2026",2026-03,month,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=2036,,1,legacy_id,2036,,b3464078-7dc4-4b18-a0b5-9a796b9d6eca,new-interconnection-and-connection-contract-model-structural-changes-enabling-ne,news,2026-03-01,date_match
