fecha,tipo,nota,von_wobeser_es,von_wobeser_es_url,von_wobeser_en,von_wobeser_en_url,replit_es,replit_es_url,replit_en,replit_en_url,comparacion,estado_enlaces,enlaces_rotos,contenido_incompatible,referencia
2026-06,noticia,México y la Unión Europea firman el Acuerdo Global Modernizado: nuevo régimen de protección de inversiones y próximos pasos para su entrada en vigor,si,https://www.vonwobeser.com/index.php/publicacion?p_id=1996,si,https://www.vonwobeser.com/index.php/publication?p_id=1995,si,https://webpage-von-wobeser-2026.replit.app/news/mexico-y-la-union-europea-firman-el-acuerdo-global-modernizado-nuevo-regimen-de-,si,https://webpage-von-wobeser-2026.replit.app/news/mexico-and-the-european-union-sign-the-modernized-global-agreement-new-investmen?lang=en,En ambas | revisar texto,OK,0,0,p_id ES 1996 | p_id EN 1995
2026-06,noticia,Modificaciones a los Lineamientos Generales para la Expedición de Visas,si,https://www.vonwobeser.com/index.php/publicacion?p_id=2013,si,https://www.vonwobeser.com/index.php/publication?p_id=2012,si,https://webpage-von-wobeser-2026.replit.app/news/modificaciones-a-los-lineamientos-generales-para-la-expedicion-de-visas,si,https://webpage-von-wobeser-2026.replit.app/news/amendment-to-the-general-guidelines-for-the-issuance-of-visas?lang=en,En ambas,OK,0,0,p_id ES 2013 | p_id EN 2012
2026-06,noticia,Medidas administrativas – Inauguración de la Copa Mundial FIFA 2026 en la Ciudad de México.,si,https://www.vonwobeser.com/index.php/publicacion?p_id=2049,si,https://www.vonwobeser.com/index.php/publication?p_id=2050,si,https://webpage-von-wobeser-2026.replit.app/news/medidas-administrativas-inauguracion-de-la-copa-mundial-fifa-2026-en-la-ciudad-d,si,https://webpage-von-wobeser-2026.replit.app/news/administrative-measures-fifa-world-cup-2026-opening-match-in-mexico-city?lang=en,En ambas | revisar texto,OK,0,0,p_id ES 2049 | p_id EN 2050
2026-06,noticia,"Medidas administrativas – Eventos relativos a la Copa Mundial FIFA 2026 en la Ciudad de México y en la zona metropolitana de Guadalajara, Jalisco.",si,https://www.vonwobeser.com/index.php/publicacion?p_id=2054,si,https://www.vonwobeser.com/index.php/publication?p_id=2053,si,https://webpage-von-wobeser-2026.replit.app/news/medidas-administrativas-eventos-relativos-a-la-copa-mundial-fifa-2026-en-la-ciud,si,https://webpage-von-wobeser-2026.replit.app/news/administrative-measures-events-related-to-the-fifa-world-cup-2026-in-mexico-city?lang=en,En ambas | revisar texto,OK,0,0,p_id ES 2054 | p_id EN 2053
2026-06,noticia,CFE Adjudica Proyectos Bajo El Esquema Para El Desarrollo Mixto Y Sener Prórroga Plazos De La Segunda Convocatoria Para Permisos De Generación,si,https://www.vonwobeser.com/index.php/publicacion?p_id=2052,si,https://www.vonwobeser.com/index.php/publication?p_id=2051,si,https://webpage-von-wobeser-2026.replit.app/news/cfe-adjudica-proyectos-bajo-el-esquema-para-el-desarrollo-mixto-y-sener-prorroga,si,https://webpage-von-wobeser-2026.replit.app/news/cfe-awards-projects-under-the-mixed-development-scheme-and-sener-extends-deadlin?lang=en,En ambas | revisar texto,OK,0,0,p_id ES 2052 | p_id EN 2051
2026-05,noticia,Sener emite la Segunda Convocatoria para la atención prioritaria de solicitudes de permisos de generación eléctrica e interconexión al SEN,si,https://www.vonwobeser.com/index.php/publicacion?p_id=2018,si,https://www.vonwobeser.com/index.php/publication?p_id=2015,si,https://webpage-von-wobeser-2026.replit.app/news/sener-emite-la-segunda-convocatoria-para-la-atencion-prioritaria-de-solicitudes-,si,https://webpage-von-wobeser-2026.replit.app/news/sener-issues-the-second-call-for-the-priority-processing-of-applications-for-ele?lang=en,En ambas,OK,0,0,p_id ES 2018 | p_id EN 2015
2026-05,noticia,SENER emite la Modificación a la Segunda Convocatoria para la atención prioritaria de solicitudes de permisos de generación de energía eléctrica e interconexión al SEN,si,https://www.vonwobeser.com/index.php/publicacion?p_id=1999,si,https://www.vonwobeser.com/index.php/publication?p_id=2000,si,https://webpage-von-wobeser-2026.replit.app/news/sener-emite-la-modificacion-a-la-segunda-convocatoria-para-la-atencion-prioritar,si,https://webpage-von-wobeser-2026.replit.app/news/sener-issues-the-amendment-to-the-second-call-for-the-priority-processing-of-app?lang=en,En ambas,OK,0,0,p_id ES 1999 | p_id EN 2000
2026-05,noticia,Reforma al Reglamento de Insumos para la Salud,si,https://www.vonwobeser.com/index.php/publicacion?p_id=2005,si,https://www.vonwobeser.com/index.php/publication?p_id=2006,si,https://webpage-von-wobeser-2026.replit.app/news/reforma-al-reglamento-de-insumos-para-la-salud,si,https://webpage-von-wobeser-2026.replit.app/news/amendment-to-the-regulations-for-health-supplies?lang=en,En ambas,OK,0,0,p_id ES 2005 | p_id EN 2006
2026-05,noticia,Publicación de la Reforma a la Ley Federal del Trabajo en materia de Reducción a la Jornada Laboral (48 a 40 horas),si,https://www.vonwobeser.com/index.php/publicacion?p_id=1998,si,https://www.vonwobeser.com/index.php/publication?p_id=1997,si,https://webpage-von-wobeser-2026.replit.app/news/publicacion-de-la-reforma-a-la-ley-federal-del-trabajo-en-materia-de-reduccion-a,si,https://webpage-von-wobeser-2026.replit.app/news/amendment-to-the-federal-labor-law-regarding-the-reduction-of-the-workweek-48-to?lang=en,En ambas | revisar texto,OK,0,0,p_id ES 1998 | p_id EN 1997
2026-05,noticia,Plan México — Acciones Inmediatas para la Inversión:,si,https://www.vonwobeser.com/index.php/publicacion?p_id=2003,si,https://www.vonwobeser.com/index.php/publication?p_id=2004,si,https://webpage-von-wobeser-2026.replit.app/news/plan-mexico-acciones-inmediatas-para-la-inversion,si,https://webpage-von-wobeser-2026.replit.app/news/plan-mexico-immediate-actions-for-investment?lang=en,En ambas | revisar texto,OK,0,0,p_id ES 2003 | p_id EN 2004
