fecha,nota,origen,idioma,tipo,clasificacion,http,enlace_comprobado,ficha_de_la_nota,como_buscar
2022-03,Latin Lawyer: The Guide to Mergers and Acquisitions: Indemnity Escrows and Other Payment Guarantees,oficial,en,PDF,contenido-invalido,206,https://www.vonwobeser.com/images/PDF_news/2022/Guide_mergers.jpg,https://www.vonwobeser.com/index.php/publication?p_id=1707,p_id EN 1707
2021-10,Integración de estrategias ESG efectivas para proyectos de energía renovable en México,oficial,en,PDF,contenido-invalido,206,https://www.iflr.com/article/b1tx78n4hkqb9z/integrating-effective-esg-strategies-for-renewable-energy-projects-in-mexico,https://www.vonwobeser.com/index.php/publication?p_id=1636,p_id ES 1637 | p_id EN 1636
2021-04,Arbitral Women: Munia El Harti Alonso Joins Von Wobeser y Sierra as Associate.,oficial,en,Enlace dentro del texto,roto,404,https://www.arbitralwomen.org/munia-el-harti-alonso-joins-von-wobeser-y-sierra-as-associate/,https://www.vonwobeser.com/index.php/publication?p_id=1597,p_id EN 1597
2020-07,Extensión en la suspensión de las actividades y plazos del Tribunal Federal de Justicia Administrativa,oficial,en,PDF,contenido-invalido,200,https://www.tfja.gob.mx/pdf/secretaria_general_de_acuerdos/acuerdos_sala_superior/2020/SS-19-2020.pdf/,https://www.vonwobeser.com/index.php/publication?p_id=1359,p_id ES 1360 | p_id EN 1359
2020-05,Uso del Arbitraje Comercial en Tiempos del COVID-19,oficial,en,PDF,roto,404,https://iccwbo.org/content/uploads/sites/3/2020/04/guidance-note-possible-measures-mitigating-effects-covid-19-english.pdf,https://www.vonwobeser.com/index.php/publication?p_id=1267,p_id ES 1268 | p_id EN 1267
2020-05,Audiencias Virtuales en Arbitraje: Un vistazo hacia las Reglas Institucionales,oficial,en,PDF,roto,404,https://www.hkiac.org/sites/default/files/ck_filebrowser/HKIAC%20Guidelines%20for%20Virtual%20Hearings_0.pdf,https://www.vonwobeser.com/index.php/publication?p_id=1281,p_id ES 1282 | p_id EN 1281
2020-05,Audiencias Virtuales en Arbitraje: Un vistazo hacia las Reglas Institucionales,oficial,en,Enlace dentro del texto,roto,404,https://www.hkiac.org/content/virtual-hearings,https://www.vonwobeser.com/index.php/publication?p_id=1281,p_id ES 1282 | p_id EN 1281
2020-05,Audiencias Virtuales en Arbitraje: Un vistazo hacia las Reglas Institucionales,oficial,es,Enlace dentro del texto,roto,404,https://www.hkiac.org/content/hkiac-hearing-facilities-enquiry,https://www.vonwobeser.com/index.php/publicacion?p_id=1282,p_id ES 1282 | p_id EN 1281
2020-05,Audiencias Virtuales en Arbitraje: Un vistazo hacia las Reglas Institucionales,oficial,es,PDF,roto,404,https://iccwbo.org/content/uploads/sites/3/2020/05/guidance-note-possible-measures-mitigating-effects-covid-19-spanish.pdf,https://www.vonwobeser.com/index.php/publicacion?p_id=1282,p_id ES 1282 | p_id EN 1281
2020-05,Audiencias Virtuales en Arbitraje: Un vistazo hacia las Reglas Institucionales,oficial,en,PDF,roto,404,https://go.adr.org/rs/294-SFS-516/images/AAA270_AAA-ICDR%20Model%20Order%20and%20Procedures%20for%20a%20Virtual%20Hearing%20via%20Videoconference.pdf,https://www.vonwobeser.com/index.php/publication?p_id=1281,p_id ES 1282 | p_id EN 1281
